Uniprot_ID,Query Cover,E value,Per_ident,Acc. Len,Accession  ,,Uniprot_ID,
A0A0A2BH81,96%,1.00E-174,29.58,1182,Query_53870,,A0A0A2BH81,TRUE
A0A0A2BPZ9,95%,5.00E-179,31.22,1180,Query_53871,,A0A0A2BPZ9,TRUE
A0A0A2XCD7,96%,0,32.84,1178,Query_53872,,A0A0A2XCD7,TRUE
A0A0A3HU91,96%,0,39.33,1143,Query_53873,,A0A0A3HU91,TRUE
A0A0A3J641,96%,0,39.33,1143,Query_53874,,A0A0A3J641,TRUE
A0A0A3JK77,96%,0,38.7,1141,Query_53875,,A0A0A3JK77,TRUE
A0A0A3YQ17,100%,0,86.39,1227,Query_53876,,A0A0A3YQ17,TRUE
A0A0A7KFA3,99%,0,58.37,1258,Query_53877,,A0A0A7KFA3,TRUE
A0A0A7LH73,99%,0,61.67,1239,Query_53878,,A0A0A7LH73,TRUE
A0A0A8JEM7,96%,0,38.17,1149,Query_53879,,A0A0A8JEM7,TRUE
A0A0B0HC99,100%,0,64.58,1226,Query_53880,,A0A0B0HC99,TRUE
A0A0B0IL63,96%,0,38.27,1150,Query_53881,,A0A0B0IL63,TRUE
A0A0B1QAE2,99%,0,60.73,1253,Query_53882,,A0A0B1QAE2,TRUE
A0A0B2B8G1,96%,2.00E-178,31.96,1161,Query_53883,,A0A0B2B8G1,TRUE
A0A0B3C549,99%,0,67.07,1230,Query_53884,,A0A0B3C549,TRUE
A0A0B4XPQ4,99%,0,66.04,1242,Query_53885,,A0A0B4XPQ4,TRUE
A0A0B5APT2,96%,0,37.83,1144,Query_53886,,A0A0B5APT2,TRUE
A0A0B5DFB9,96%,0,32.45,1175,Query_53887,,A0A0B5DFB9,TRUE
A0A0B5F4V6,96%,0,32.23,1171,Query_53888,,A0A0B5F4V6,TRUE
A0A0B5I5W2,96%,2.00E-177,31.55,1166,Query_53889,,A0A0B5I5W2,TRUE
A0A0B5I7R0,96%,0,32.92,1155,Query_53890,,A0A0B5I7R0,TRUE
A0A0B6WYR7,96%,0,34.27,1168,Query_53891,,A0A0B6WYR7,TRUE
A0A0B7J4J0,99%,0,73.11,1222,Query_53892,,A0A0B7J4J0,TRUE
A0A0B7MPY9,99%,0,54.44,1258,Query_53893,,A0A0B7MPY9,TRUE
A0A0B8NUV2,99%,0,72.21,1221,Query_53894,,A0A0B8NUV2,TRUE
A0A0C1XZC6,96%,0,32.1,1169,Query_53895,,A0A0C1XZC6,TRUE
A0A0C1YDT8,95%,0,31.55,1245,Query_53896,,A0A0C1YDT8,TRUE
A0A0C2AS79,96%,5.00E-176,31.99,1172,Query_53897,,A0A0C2AS79,TRUE
A0A0C2MXT3,99%,0,66.59,1230,Query_53898,,A0A0C2MXT3,TRUE
A0A0C2QBP2,95%,0,30.81,1179,Query_53899,,A0A0C2QBP2,TRUE
A0A0C2RZ77,96%,0,37.7,1148,Query_53900,,A0A0C2RZ77,TRUE
A0A0C2UQD1,96%,0,38.69,1150,Query_53901,,A0A0C2UQD1,TRUE
A0A0C2V4K6,96%,0,36.9,1146,Query_53902,,A0A0C2V4K6,TRUE
A0A0C2V6W1,97%,2.00E-159,29.81,1167,Query_53903,,A0A0C2V6W1,TRUE
A0A0C2VB21,96%,2.00E-151,29.81,1171,Query_53904,,A0A0C2VB21,TRUE
A0A0C2VV05,96%,0,37.97,1148,Query_53905,,A0A0C2VV05,TRUE
A0A0C2ZMB3,96%,6.00E-167,29.66,1169,Query_53906,,A0A0C2ZMB3,TRUE
A0A0C3RIH1,98%,0,46.36,1173,Query_53907,,A0A0C3RIH1,TRUE
A0A0C4WHU7,99%,0,66.67,1249,Query_53908,,A0A0C4WHU7,TRUE
A0A0C5J609,99%,0,59.92,1253,Query_53909,,A0A0C5J609,TRUE
A0A0C5V753,99%,0,64.85,1231,Query_53910,,A0A0C5V753,TRUE
A0A0C5W760,99%,0,74.18,1225,Query_53911,,A0A0C5W760,TRUE
A0A0D0WUB4,98%,0,55.05,1183,Query_53912,,A0A0D0WUB4,TRUE
A0A0D2WLR6,99%,0,53.75,1263,Query_53913,,A0A0D2WLR6,TRUE
A0A0D3LNL1,99%,0,60.13,1231,Query_53914,,A0A0D3LNL1,TRUE
A0A0D3VGL0,96%,0,37.97,1146,Query_53915,,A0A0D3VGL0,TRUE
A0A0D5NQ53,96%,0,38.52,1146,Query_53916,,A0A0D5NQ53,TRUE
A0A0D6B2K0,99%,0,61.99,1253,Query_53917,,A0A0D6B2K0,TRUE
A0A0D6EY80,99%,0,57.88,1260,Query_53918,,A0A0D6EY80,TRUE
A0A0D6L0Q9,95%,0,31.27,1184,Query_53919,,A0A0D6L0Q9,TRUE
A0A0D6MNL6,96%,9.00E-175,31.77,1169,Query_53920,,A0A0D6MNL6,TRUE
A0A0D6P586,96%,5.00E-164,31.46,1161,Query_53921,,A0A0D6P586,TRUE
A0A0D6QIC6,96%,0,33.94,1150,Query_53922,,A0A0D6QIC6,TRUE
A0A0D6ZFE7,96%,0,36.7,1150,Query_53923,,A0A0D6ZFE7,TRUE
A0A0D7CNU0,96%,1.00E-170,30.86,1169,Query_53924,,A0A0D7CNU0,TRUE
A0A0D7E8V6,99%,0,66.8,1230,Query_53925,,A0A0D7E8V6,TRUE
A0A0D8DF49,99%,0,68.68,1230,Query_53926,,A0A0D8DF49,TRUE
A0A0D8FYZ1,96%,1.00E-175,30.9,1153,Query_53927,,A0A0D8FYZ1,TRUE
A0A0D8HKJ1,96%,0,32.7,1154,Query_53928,,A0A0D8HKJ1,TRUE
A0A0D8ZR98,95%,0,32.2,1175,Query_53929,,A0A0D8ZR98,TRUE
A0A0E2WPA6,99%,0,62.68,1262,Query_53930,,A0A0E2WPA6,TRUE
A0A0E3XTM8,99%,0,62.56,1247,Query_53931,,A0A0E3XTM8,TRUE
A0A0E3ZE04,99%,0,61.22,1236,Query_53932,,A0A0E3ZE04,TRUE
A0A0F0CJL3,95%,4.00E-148,29.87,1137,Query_53933,,A0A0F0CJL3,TRUE
A0A0F0GLY1,99%,0,54.46,1190,Query_53934,,A0A0F0GLY1,TRUE
A0A0F2RYE1,96%,0,31.65,1178,Query_53935,,A0A0F2RYE1,TRUE
A0A0F2SEE7,98%,0,55.43,1215,Query_53936,,A0A0F2SEE7,TRUE
A0A0F5FI68,99%,0,62.18,1258,Query_53937,,A0A0F5FI68,TRUE
A0A0F5I427,96%,0,38.19,1148,Query_53938,,A0A0F5I427,TRUE
A0A0F5LKG5,98%,0,63.39,1255,Query_53939,,A0A0F5LKG5,TRUE
A0A0F5QGW2,98%,0,61.64,1256,Query_53940,,A0A0F5QGW2,TRUE
A0A0F5QZL4,96%,0,37.28,1146,Query_53941,,A0A0F5QZL4,TRUE
A0A0F6TDI8,96%,2.00E-170,31.59,1193,Query_53942,,A0A0F6TDI8,TRUE
A0A0F6TQ96,99%,0,65.6,1230,Query_53943,,A0A0F6TQ96,TRUE
A0A0F6YK51,99%,0,56.16,1230,Query_53944,,A0A0F6YK51,TRUE
A0A0F7FPD0,95%,6.00E-173,31.99,1170,Query_53945,,A0A0F7FPD0,TRUE
A0A0F7JQY2,99%,0,59.27,1247,Query_53946,,A0A0F7JQY2,TRUE
A0A0F7K1Z3,99%,0,66.45,1235,Query_53947,,A0A0F7K1Z3,TRUE
A0A0F7M6G6,99%,0,63.87,1232,Query_53948,,A0A0F7M6G6,TRUE
A0A0F7N0J2,96%,2.00E-177,32.38,1178,Query_53949,,A0A0F7N0J2,TRUE
A0A0F7W4W9,96%,4.00E-179,31.93,1171,Query_53950,,A0A0F7W4W9,TRUE
A0A0G2L2R7,94%,0,53.98,1263,Query_53951,,A0A0G2L2R7,TRUE
A0A0G3AJN4,96%,0,32.48,1171,Query_53952,,A0A0G3AJN4,TRUE
A0A0G3CW04,99%,0,82.45,1226,Query_53953,,A0A0G3CW04,TRUE
A0A0G3G0T7,99%,0,66.16,1263,Query_53954,,A0A0G3G0T7,TRUE
A0A0G3GPP3,97%,6.00E-160,30.28,1191,Query_53955,,A0A0G3GPP3,TRUE
A0A0G3H484,96%,4.00E-172,31.49,1201,Query_53956,,A0A0G3H484,TRUE
A0A0G3IQF9,99%,0,63.13,1254,Query_53957,,A0A0G3IQF9,TRUE
A0A0G3V5N7,96%,0,33.69,1156,Query_53958,,A0A0G3V5N7,TRUE
A0A0G8AYQ4,95%,3.00E-164,30.15,1203,Query_53959,,A0A0G8AYQ4,TRUE
A0A0G9LGS2,98%,0,51.36,1216,Query_53960,,A0A0G9LGS2,TRUE
A0A0H2Q7Z1,100%,0,80.36,1227,Query_53961,,A0A0H2Q7Z1,TRUE
A0A0H3D6P4,96%,4.00E-164,31.99,1184,Query_53962,,A0A0H3D6P4,TRUE
A0A0H3J5U9,99%,0,53.52,1215,Query_53963,,A0A0H3J5U9,TRUE
A0A0H3K5E3,95%,0,32.4,1190,Query_53964,,A0A0H3K5E3,TRUE
A0A0H3YZ39,99%,0,66.56,1230,Query_53965,,A0A0H3YZ39,TRUE
A0A0H4NWB0,96%,0,38.74,1150,Query_53966,,A0A0H4NWB0,TRUE
A0A0H5B8L7,99%,0,62.49,1244,Query_53967,,A0A0H5B8L7,TRUE
A0A0H5CF91,96%,9.00E-177,32.37,1181,Query_53968,,A0A0H5CF91,TRUE
A0A0H5CG18,99%,0,54.9,1198,Query_53969,,A0A0H5CG18,TRUE
A0A0H5NHR2,96%,0,32.5,1198,Query_53970,,A0A0H5NHR2,TRUE
A0A0I9SGG0,99%,0,66.88,1230,Query_53971,,A0A0I9SGG0,TRUE
A0A0J0UWF2,96%,1.00E-176,32.36,1185,Query_53972,,A0A0J0UWF2,TRUE
A0A0J1FW44,98%,0,54.67,1212,Query_53973,,A0A0J1FW44,TRUE
A0A0J1GSN9,99%,0,73.6,1227,Query_53974,,A0A0J1GSN9,TRUE
A0A0J1GVI6,99%,0,73.89,1225,Query_53975,,A0A0J1GVI6,TRUE
A0A0J1H3G8,99%,0,72.44,1222,Query_53976,,A0A0J1H3G8,TRUE
A0A0J5G313,98%,0,64.91,1241,Query_53977,,A0A0J5G313,TRUE
A0A0J6CDS8,99%,0,50.65,1230,Query_53978,,A0A0J6CDS8,TRUE
A0A0J6ZCD5,99%,0,63.16,1254,Query_53979,,A0A0J6ZCD5,TRUE
A0A0J7AJ49,96%,8.00E-180,31.64,1170,Query_53980,,A0A0J7AJ49,TRUE
A0A0J8D992,98%,0,52.02,1200,Query_53981,,A0A0J8D992,TRUE
A0A0J8H032,99%,0,70.41,1232,Query_53982,,A0A0J8H032,TRUE
A0A0J8VC48,99%,0,73.95,1223,Query_53983,,A0A0J8VC48,TRUE
A0A0K0ENV9,98%,0,52.16,1261,Query_53984,,A0A0K0ENV9,TRUE
A0A0K0F1S4,98%,0,52.08,1266,Query_53985,,A0A0K0F1S4,TRUE
A0A0K1EQN9,98%,0,58.14,1251,Query_53986,,A0A0K1EQN9,TRUE
A0A0K1FBM2,96%,2.00E-177,32.07,1188,Query_53987,,A0A0K1FBM2,TRUE
A0A0K1JQI8,99%,0,62.45,1250,Query_53988,,A0A0K1JQI8,TRUE
A0A0K1XBA0,99%,0,64.91,1231,Query_53989,,A0A0K1XBA0,TRUE
A0A0K2APC0,96%,2.00E-180,31.83,1170,Query_53990,,A0A0K2APC0,TRUE
A0A0K2D9A5,98%,0,61.97,1247,Query_53991,,A0A0K2D9A5,TRUE
A0A0K2GCU2,99%,0,60.5,1232,Query_53992,,A0A0K2GCU2,TRUE
A0A0K2YGA2,96%,2.00E-167,31.87,1199,Query_53993,,A0A0K2YGA2,TRUE
A0A0K6GXK7,99%,0,65.8,1237,Query_53994,,A0A0K6GXK7,TRUE
A0A0K6INM3,99%,0,62.63,1225,Query_53995,,A0A0K6INM3,TRUE
A0A0K8QR66,99%,0,63.31,1254,Query_53996,,A0A0K8QR66,TRUE
A0A0K8QW48,99%,0,58.42,1221,Query_53997,,A0A0K8QW48,TRUE
A0A0K9GTD0,97%,0,35.99,1149,Query_53998,,A0A0K9GTD0,TRUE
A0A0K9X9F2,96%,0,32.29,1168,Query_53999,,A0A0K9X9F2,TRUE
A0A0L0FYB1,98%,0,54.72,1231,Query_54000,,A0A0L0FYB1,TRUE
A0A0L0H9M2,99%,0,55.96,1270,Query_54001,,A0A0L0H9M2,TRUE
A0A0L0SGS6,99%,0,55.27,1260,Query_54002,,A0A0L0SGS6,TRUE
A0A0L0W7E4,98%,0,53.27,1202,Query_54003,,A0A0L0W7E4,TRUE
A0A0L6CNG5,99%,0,61.92,1272,Query_54004,,A0A0L6CNG5,TRUE
A0A0L6JLK0,98%,0,53.56,1216,Query_54005,,A0A0L6JLK0,TRUE
A0A0L7SXL7,100%,0,87.78,1227,Query_54006,,A0A0L7SXL7,TRUE
A0A0L7ZFJ3,99%,0,74.1,1225,Query_54007,,A0A0L7ZFJ3,TRUE
A0A0L8I2J1,99%,0,54.52,1245,Query_54008,,A0A0L8I2J1,TRUE
A0A0L8V830,99%,0,57.4,1239,Query_54009,,A0A0L8V830,TRUE
A0A0M0EGE3,97%,2.00E-176,31.73,1169,Query_54010,,A0A0M0EGE3,TRUE
A0A0M0LIL8,96%,0,37.56,1149,Query_54011,,A0A0M0LIL8,TRUE
A0A0M1JAH2,100%,0,63.69,1230,Query_54012,,A0A0M1JAH2,TRUE
A0A0M1JZ30,95%,0,31.1,1212,Query_54013,,A0A0M1JZ30,TRUE
A0A0M1P3G5,96%,0,37.46,1146,Query_54014,,A0A0M1P3G5,TRUE
A0A0M2H1L5,96%,8.00E-156,30.41,1221,Query_54015,,A0A0M2H1L5,TRUE
A0A0M2HL54,96%,7.00E-155,30.49,1234,Query_54016,,A0A0M2HL54,TRUE
A0A0M2Q1T2,95%,0,32.05,1198,Query_54017,,A0A0M2Q1T2,TRUE
A0A0M2RJU0,99%,0,66.56,1230,Query_54018,,A0A0M2RJU0,TRUE
A0A0M2SZ13,96%,0,37.75,1149,Query_54019,,A0A0M2SZ13,TRUE
A0A0M3BF36,99%,0,61.14,1256,Query_54020,,A0A0M3BF36,TRUE
A0A0M3QKR2,96%,7.00E-177,31.21,1162,Query_54021,,A0A0M3QKR2,TRUE
A0A0M3RF31,96%,0,37.52,1149,Query_54022,,A0A0M3RF31,TRUE
A0A0M4DX56,95%,2.00E-172,30.94,1170,Query_54023,,A0A0M4DX56,TRUE
A0A0M4FVH1,96%,0,37.33,1141,Query_54024,,A0A0M4FVH1,TRUE
A0A0M4NFT0,99%,0,63.85,1217,Query_54025,,A0A0M4NFT0,TRUE
A0A0M4TWR8,96%,0,31.47,1178,Query_54026,,A0A0M4TWR8,TRUE
A0A0M6Y103,99%,0,62.51,1242,Query_54027,,A0A0M6Y103,TRUE
A0A0M6ZP66,99%,0,61.81,1242,Query_54028,,A0A0M6ZP66,TRUE
A0A0M7ANL4,99%,0,62.59,1242,Query_54029,,A0A0M7ANL4,TRUE
A0A0M8WGQ7,98%,0,53.87,1187,Query_54030,,A0A0M8WGQ7,TRUE
A0A0M8YC62,99%,0,55.11,1199,Query_54031,,A0A0M8YC62,TRUE
A0A0M9AGR8,97%,0,32.7,1185,Query_54032,,A0A0M9AGR8,TRUE
A0A0M9DQ26,98%,0,58.72,1266,Query_54033,,A0A0M9DQ26,TRUE
A0A0M9FPH4,99%,0,53.63,1249,Query_54034,,A0A0M9FPH4,TRUE
A0A0M9XAZ9,96%,0,31.73,1174,Query_54035,,A0A0M9XAZ9,TRUE
A0A0M9XQL7,96%,0,32.04,1169,Query_54036,,A0A0M9XQL7,TRUE
A0A0M9YNW9,96%,4.00E-175,31.03,1169,Query_54037,,A0A0M9YNW9,TRUE
A0A0N0GXX8,96%,0,32.1,1169,Query_54038,,A0A0N0GXX8,TRUE
A0A0N1K6G0,95%,8.00E-174,31.31,1170,Query_54039,,A0A0N1K6G0,TRUE
A0A0N4Y4U9,99%,0,52.76,1267,Query_54040,,A0A0N4Y4U9,TRUE
A0A0N4ZJY8,98%,0,52.81,1254,Query_54041,,A0A0N4ZJY8,TRUE
A0A0N7M222,99%,0,60.97,1252,Query_54042,,A0A0N7M222,TRUE
A0A0N8GLW3,96%,0,34.43,1172,Query_54043,,A0A0N8GLW3,TRUE
A0A0N8GS34,96%,0,32.95,1180,Query_54044,,A0A0N8GS34,TRUE
A0A0N8TZB1,99%,0,65.56,1238,Query_54045,,A0A0N8TZB1,TRUE
A0A0N8WI41,99%,0,54.62,1227,Query_54046,,A0A0N8WI41,TRUE
A0A0N9I0W9,99%,0,54.02,1200,Query_54047,,A0A0N9I0W9,TRUE
A0A0N9I1S2,96%,1.00E-166,31.46,1183,Query_54048,,A0A0N9I1S2,TRUE
A0A0P0NC04,99%,0,60.38,1219,Query_54049,,A0A0P0NC04,TRUE
A0A0P0US17,99%,0,63.88,1217,Query_54050,,A0A0P0US17,TRUE
A0A0P0YEA6,96%,4.00E-171,32.29,1166,Query_54051,,A0A0P0YEA6,TRUE
A0A0P1F7U3,99%,0,61.31,1243,Query_54052,,A0A0P1F7U3,TRUE
A0A0P1FY00,99%,0,60.29,1253,Query_54053,,A0A0P1FY00,TRUE
A0A0P4RAK6,95%,2.00E-175,31.75,1145,Query_54054,,A0A0P4RAK6,TRUE
A0A0P4W8P8,99%,0,54.16,1258,Query_54055,,A0A0P4W8P8,TRUE
A0A0P5ZHS0,99%,0,53.83,1260,Query_54056,,A0A0P5ZHS0,TRUE
A0A0P6VY31,98%,0,62.9,1245,Query_54057,,A0A0P6VY31,TRUE
A0A0P6X596,96%,0,34.92,1174,Query_54058,,A0A0P6X596,TRUE
A0A0P6XCL6,96%,0,33.47,1168,Query_54059,,A0A0P6XCL6,TRUE
A0A0P6XW93,96%,0,34.38,1179,Query_54060,,A0A0P6XW93,TRUE
A0A0P6YMQ4,97%,0,34.46,1176,Query_54061,,A0A0P6YMQ4,TRUE
A0A0P7C3Z0,99%,0,57.1,1251,Query_54062,,A0A0P7C3Z0,TRUE
A0A0P7CJ23,99%,0,54.1,1273,Query_54063,,A0A0P7CJ23,TRUE
A0A0P7XFI9,99%,0,61.93,1243,Query_54064,,A0A0P7XFI9,TRUE
A0A0P7Y1Q1,99%,0,66.4,1231,Query_54065,,A0A0P7Y1Q1,TRUE
A0A0P7ZTM4,95%,0,32.25,1204,Query_54066,,A0A0P7ZTM4,TRUE
A0A0P8A1W8,96%,0,31.84,1184,Query_54067,,A0A0P8A1W8,TRUE
A0A0P8BQJ3,99%,0,62.4,1249,Query_54068,,A0A0P8BQJ3,TRUE
A0A0P9D065,96%,0,37.36,1185,Query_54069,,A0A0P9D065,TRUE
A0A0P9JRK5,89%,0,66.43,1105,Query_54070,,A0A0P9JRK5,TRUE
A0A0P9QS71,99%,0,65.75,1270,Query_54071,,A0A0P9QS71,TRUE
A0A0Q4N191,100%,0,84.52,1227,Query_54072,,A0A0Q4N191,TRUE
A0A0Q4QPS8,96%,0,38.39,1148,Query_54073,,A0A0Q4QPS8,TRUE
A0A0Q5EUH5,99%,0,65.11,1239,Query_54074,,A0A0Q5EUH5,TRUE
A0A0Q5HR64,99%,0,61.65,1259,Query_54075,,A0A0Q5HR64,TRUE
A0A0Q5QHI8,96%,3.00E-176,32.25,1202,Query_54076,,A0A0Q5QHI8,TRUE
